lat_round,lng_round
40.705,-74.01
40.705,-74.005
40.71,-74.015
40.71,-74.01
40.71,-74.005
40.715,-74.01
40.715,-74.005
40.715,-74.0
40.715,-73.99
40.72,-74.01
40.72,-74.005
40.72,-74.0
40.72,-73.995
40.72,-73.99
40.72,-73.985
40.725,-74.01
40.725,-74.0
40.725,-73.995
40.725,-73.99
40.725,-73.98
40.73,-74.01
40.73,-74.005
40.73,-74.0
40.73,-73.995
40.73,-73.99
40.73,-73.985
40.735,-74.01
40.735,-74.0
40.735,-73.99
40.735,-73.98
40.735,-73.975
40.74,-74.01
40.74,-74.005
40.74,-74.0
40.74,-73.995
40.74,-73.99
40.74,-73.985
40.74,-73.98
40.74,-73.975
40.745,-73.995
40.745,-73.99
40.745,-73.985
40.745,-73.98
40.745,-73.975
40.75,-74.005
40.75,-73.995
40.75,-73.99
40.75,-73.985
40.75,-73.98
40.75,-73.975
40.755,-73.995
40.755,-73.99
40.755,-73.985
40.755,-73.98
40.755,-73.975
40.755,-73.97
40.755,-73.965
40.76,-73.995
40.76,-73.99
40.76,-73.985
40.76,-73.98
40.76,-73.975
40.76,-73.97
40.76,-73.965
40.765,-73.99
40.765,-73.985
40.765,-73.98
40.765,-73.975
40.765,-73.97
40.77,-73.995
40.77,-73.99
40.77,-73.985
40.77,-73.965
40.77,-73.96
40.77,-73.955
40.775,-73.98
40.775,-73.965
40.775,-73.955
40.78,-73.98
40.78,-73.96
40.78,-73.955
40.78,-73.95
40.785,-73.975
40.79,-73.975
40.79,-73.945
40.795,-73.97
40.795,-73.945
40.8,-73.965
40.8,-73.955
40.8,-73.94
40.805,-73.955
40.805,-73.94
40.81,-73.96
40.81,-73.95
40.815,-73.94
40.82,-73.955
40.82,-73.95
40.82,-73.94
40.825,-73.94
40.83,-73.94
40.835,-73.94
40.845,-73.935
40.85,-73.935
40.855,-73.93
40.865,-73.92
40.87,-73.915
